Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks
S476484,O24048,C7410,,amit@gmail.com,+916066672764,mumbai,U.K.,South,400001.0,P6416,Tablet,,49.770102556071386,11.0,4283.776422510859,131061.78180224224,2024-07-31,2024-12-30,0.0,Pending,Ship,V753,Mr. Lee,Cargo,R476,8553.133890518824,173.60676437137283,Warehouse A,South Hub,Mr. Khan,,Debet,,,
S259663,O39818,C6429,,jane@,+917586601923,Delhi,UK,North,600001.0,P6071,Charger,Clothing,5.000115246598537,10.0,2473.7388485041297,169264.584847676,2025-08-01,2024-10-04,8.0,DELAYED,,V627,Mrs. Patel,Truck,R427,8565.430963853194,453.81485223837,,Central,Mr. Patel,High,Card,,,
S976996,O72852,C9298,Li Wei,amit@gmail.com,+919228642734,mumbai,USA,West,400001.0,P9426,,Furniture,89.53532136755106,1.0,1457.3824505425428,189658.9030926553,2021-11-18,2024-05-15,2.0,Delivered,Road,V674,Mrs. Patel,Bike,R489,8138.8390000480385,1248.440027973224,Warehouse A,,Mr. Khan,Medium,Card,,,Check packaging
S777803,O75666,C9408,,jane@,+919138121270,Delhi,USA,South,,P3517,Charger,Accessories,73.3333972102348,17.0,3232.275874206702,52705.98887664019,2020-10-09,2021-04-21,3.0,In Transit,Air,V842,Mr. Lee,Truck,R846,9138.029149244574,787.0087478115729,Warehouse B,Central,Mr. Patel,Low,UPI,,,Check packaging
S687190,O54768,C1407,Amit Kumar,john@example.com,+917433943989,Chennai,India,South,400001.0,P2031,Tablet,Food,45.878963429595075,7.0,2036.6726209806648,45101.87521972178,2021-01-02,2023-04-24,12.0,delayed,Road,V124,,,R373,7342.820680526852,632.8260178130992,,North Hub,Mr. Khan,Low,Online,No,,
S748996,O58291,C9627,Li Wei,john@example.com,+918431786407,mumbai,U.K.,East,400001.0,P4406,Headphones,,45.878963429595075,10.0,1261.2741334908098,196124.17913065635,2023-11-14,2023-04-30,8.0,DELAYED,,V132,,Truck,R668,9768.548903378454,490.7450036521326,Warehouse A,North Hub,Mr. Patel,Low,Cash,No,Pending,Handle with care
S904353,O65711,C1977,,john@example.com,+917543638001,Bangalore,india,North,600001.0,P1007,Charger,Clothing,12.642804367055493,17.0,523.4605678022331,79017.03622621998,2024-08-27,2023-04-15,8.0,Cancelled,Ship,V824,,Van,R526,9768.548903378454,1229.7417935193005,,,Ms. Verma,High,Online,,Not Returned,Handle with care
S744817,O45680,C4586,Amit Kumar,jane@,+919366716010,Delhi,india,,,P2437,,,86.37879087462156,13.0,838.5720371470828,190827.3003922336,2021-01-27,2020-03-18,1.0,Delivered,,V163,Ms. Sharma,,R739,8641.039994658273,1463.6602901953722,,North Hub,Ms. Verma,Low,Card,No,Not Returned,
S691051,O13919,C6959,Jane Smith,jane@,+917690365953,Delhi,,East,560001.0,P5318,Headphones,Furniture,20.367541324756793,17.0,2501.315203724154,33111.50560680302,2020-08-01,2025-10-28,5.0,Cancelled,Rail,V682,Mr. Rao,Van,R216,7089.92075935827,1070.479318614681,Warehouse A,North Hub,Mr. Khan,Medium,Online,,Not Returned,Handle with care
S794002,O70026,C8875,Li Wei,john@example.com,+917792931815,,,,600001.0,P2346,Laptop,Accessories,5.000115246598537,13.0,1984.8354527273511,126046.97541719936,2022-02-17,2024-08-23,1.0,delayed,,V920,Ms. Sharma,,R282,4344.41136364849,365.2178461823782,,South Hub,Ms. Verma,High,Online,Yes,Not Returned,
S926939,O79644,C3814,Jane Smith,amit@gmail.com,+919984727880,Mumbai,,South,600001.0,P3311,,Accessories,20.272210312650156,1.0,394.1316242533175,126046.97541719936,2024-10-04,2020-05-04,0.0,Pending,,V347,Ms. Sharma,Cargo,R441,3653.713054879444,1000.2208819211337,Warehouse A,Central,,,Card,No,Not Returned,Handle with care
S617814,O77010,C1177,John Doe,amit@gmail.com,+919181497573,Delhi,India,,400001.0,P3987,Charger,Furniture,88.77766788634449,3.0,4539.137138587447,101699.56873361937,2022-06-05,2024-05-08,12.0,Cancelled,,V288,Mrs. Patel,,R474,7015.422873397185,151.0244465801482,,Central,,,Cash,Yes,,Handle with care
S471638,O70544,C6979,michael brown,john@example.com,+918574501063,mumbai,UK,,110001.0,P4277,Laptop,Accessories,32.85574054166133,12.0,3897.80055290155,144272.0612889226,2021-09-27,2025-08-06,,In Transit,Road,V635,Mr. Lee,Bike,R871,8481.274237271986,1229.7417935193005,Warehouse B,North Hub,Mr. Khan,Medium,Cash,No,Not Returned,Handle with care
S646723,O59810,C9389,,amit@gmail.com,+917307171619,Delhi,UK,West,400001.0,P4978,Charger,Food,11.235196985833793,8.0,2935.617099354375,194596.3121840462,2023-07-12,2022-05-25,-4.0,Cancelled,Road,V475,Mr. Rao,,R785,2321.3171458743936,149.4238239751592,Warehouse A,,Mr. Khan,Low,Debet,Yes,Pending,Handle with care
S699718,O72667,C1326,John Doe,john@example.com,+919531520380,Mumbai,india,South,600001.0,P2645,,Electronics,5.000115246598537,13.0,3146.5043766263207,194596.3121840462,2022-06-28,2023-12-15,-5.0,delayed,,V147,Ms. Sharma,,R631,8813.090633228108,1756.9267606299247,Warehouse A,South Hub,Mr. Khan,Low,Cash,,Not Returned,Delayed delivery
S119973,O35597,C6094,Fatima Noor,john@example.com,+919571668262,Mumbai,U.K.,North,110001.0,P7822,Headphones,Food,56.347081158164876,15.0,912.2019229319939,18874.57944789831,2021-06-06,2023-09-01,0.0,,Ship,V558,Mr. Lee,Truck,R590,2530.987075191979,1666.8263383197436,Warehouse A,South Hub,Mr. Khan,Medium,Card,Yes,,Handle with care
S874320,O79365,C5184,Li Wei,,+919909534210,Chennai,,South,400001.0,P1832,Tablet,Accessories,,9.0,4376.729227010814,65957.74184791233,2022-03-20,2023-03-22,-4.0,DELAYED,Ship,V231,,Bike,R593,4600.327884455801,1463.6602901953722,Hub C,North Hub,Ms. Verma,Medium,UPI,No,,Handle with care
S680705,O29901,C4545,Amit Kumar,john@example.com,+916868316172,Delhi,,North,110001.0,P1715,Mobile,,36.95300340772233,3.0,247.93133754931196,140528.58311623166,2020-01-05,2024-04-20,5.0,Delivered,Ship,V871,Mr. Rao,Cargo,R646,8231.461695455953,738.6984001823912,Warehouse B,,Ms. Verma,Medium,Credt,Yes,,Handle with care
S478286,O88231,C3295,,amit@gmail.com,+917364597783,Bangalore,us,North,560001.0,P8044,Laptop,Furniture,5.000115246598537,10.0,524.0510366881534,101091.60274448698,2021-04-26,2023-05-10,8.0,,Air,V840,Mrs. Patel,,R375,2530.987075191979,939.1455906329755,Warehouse A,South Hub,Mr. Khan,Low,Cash,,Pending,Check packaging
S165082,O18066,C5206,Fatima Noor,amit@gmail.com,+916242557817,Delhi,U.K.,North,560001.0,P4819,,,81.638412131256,10.0,4318.381124021914,131243.56931081213,2025-09-18,2023-08-21,-5.0,Delivered,Rail,V180,Ms. Sharma,,R550,5513.3751846654795,731.0664400538368,,,Mr. Khan,,Debet,Yes,Pending,Delayed delivery
S835369,O91470,C2518,,jane@,+917811160976,,us,East,400001.0,P9615,Laptop,Furniture,0.0,7.0,866.0408676854231,131653.96707301988,2024-12-07,2022-11-26,-2.0,,Rail,V482,Ms. Sharma,Bike,R404,880.2333472241612,1779.5949701260106,Warehouse A,,Mr. Khan,,Card,No,Pending,Check packaging
S274923,O28315,C6947,Fatima Noor,jane@,+919930624389,,India,East,600001.0,P8803,,Accessories,11.235196985833793,17.0,676.4538978214792,14882.343104953283,2020-03-18,2022-02-05,-5.0,Pending,Road,V580,Mr. Rao,Cargo,R162,880.2333472241612,365.2178461823782,,,Mr. Patel,Medium,Online,,,Check packaging
S440133,O60576,C1894,Amit Kumar,john@example.com,+917966541521,mumbai,india,West,560001.0,P6822,Headphones,Accessories,14.521960384988883,5.0,2847.357221366099,126046.97541719936,2022-09-13,2024-01-07,-2.0,Cancelled,Air,V956,,Truck,R811,8408.905679026246,1779.5949701260106,Warehouse B,North Hub,Ms. Verma,Medium,UPI,,Not Returned,
S382193,O78201,C9785,Fatima Noor,,+918181337077,mumbai,India,South,,P1847,Charger,Food,7.917789046137197,6.0,2860.8017943795635,33111.50560680302,2023-05-28,2020-11-05,1.0,Cancelled,Ship,V992,Mrs. Patel,Cargo,R882,6853.33280857354,,Hub C,,,Medium,Card,,Pending,Check packaging
S339307,O84270,C2511,Li Wei,,+916200756543,mumbai,india,North,560001.0,P5986,Tablet,Food,36.95300340772233,8.0,3436.1508877561932,110595.09146370171,2020-06-26,2024-10-18,4.0,Cancelled,Road,V539,Mr. Rao,,R790,7133.883833079126,914.0718784944544,,South Hub,Ms. Verma,Medium,UPI,,,
S308976,O16003,C2855,Fatima Noor,john@example.com,+917499940564,Bangalore,India,East,560001.0,P1109,Charger,Accessories,16.021454773452163,19.0,3628.7040959927253,172921.79645421807,2021-01-22,2025-05-26,2.0,In Transit,Rail,V974,Mr. Rao,,R487,5630.916918983429,1229.7417935193005,Warehouse B,Central,Mr. Khan,Low,UPI,Yes,,Handle with care
S196122,O90267,C7159,,amit@gmail.com,+918646141901,,india,West,110001.0,P6223,Laptop,,5.000115246598537,4.0,1206.7690414433216,13794.510437642093,2022-04-10,2023-01-17,5.0,,Ship,V277,Ms. Sharma,,R881,2892.410615379814,1147.6067239810777,Hub C,South Hub,Mr. Patel,High,Online,No,Returned,Handle with care
S813801,O57535,C8550,,jane@,+917866700460,Chennai,India,South,400001.0,P9123,Tablet,,94.91411095670665,16.0,4217.694349370825,65957.74184791233,2020-03-16,2023-11-21,0.0,DELAYED,Rail,V383,Mr. Lee,Truck,R123,1320.6811082606414,1335.386338333092,Warehouse A,,Ms. Verma,Low,UPI,Yes,,
S275615,O56142,C4762,Jane Smith,jane@,+919507190470,Chennai,USA,North,560001.0,P1457,,Accessories,56.347081158164876,8.0,2935.617099354375,154723.2036324777,2022-03-20,2023-05-02,1.0,Cancelled,Air,V327,Ms. Sharma,,R624,6663.056267014754,1406.512023333398,Hub C,Central,Ms. Verma,Low,Credt,,Not Returned,
S655162,O72360,C1410,Jane Smith,amit@gmail.com,+918419068967,Delhi,UK,,560001.0,P7203,,Accessories,52.246768107192175,8.0,4256.863571377221,62335.441039422105,2023-03-27,2025-08-12,11.0,Cancelled,Rail,V221,Mr. Lee,,R379,9534.073322592092,632.8260178130992,,North Hub,Ms. Verma,,Credt,,Pending,Check packaging
S177726,O87786,C1249,,amit@gmail.com,+917147832188,mumbai,USA,South,600001.0,P9638,Headphones,Furniture,12.642804367055493,3.0,3014.228372520391,121613.61499720451,2023-03-24,2020-05-18,6.0,DELAYED,Road,V318,,Van,R852,1108.0122331191321,1961.602136056614,,North Hub,,Medium,Debet,Yes,,Handle with care
S348688,O42617,C3793,michael brown,amit@gmail.com,+916379721447,Chennai,UK,East,560001.0,P7552,Headphones,Accessories,61.37936302487676,17.0,2445.1136839385704,177191.33481676033,2021-03-12,2021-12-19,1.0,Cancelled,Road,V189,Mrs. Patel,Bike,R922,7561.095207931837,959.3305987464663,,North Hub,,High,Cash,Yes,Returned,
S106465,O36476,C6472,Li Wei,amit@gmail.com,+916829335273,,india,North,400001.0,P9487,Tablet,Electronics,73.03621322007824,10.0,4624.872973105552,197255.3224843835,2020-11-19,2022-11-16,3.0,delayed,Rail,V150,Mr. Rao,Van,R399,7089.92075935827,643.2002564090315,Warehouse A,South Hub,Mr. Khan,Medium,UPI,Yes,,
S494284,O93339,C3213,Amit Kumar,jane@,+918453875660,Bangalore,india,,600001.0,P1592,,,92.22648638480013,6.0,2421.167471465411,65957.74184791233,2023-10-04,2020-06-26,0.0,Cancelled,Rail,V433,Ms. Sharma,,R104,6730.004134188153,632.8260178130992,Warehouse B,,,Low,Card,Yes,Returned,Check packaging
S155252,O79917,C2806,John Doe,jane@,+918803200342,,UK,South,,P4463,Headphones,Clothing,59.44524960177323,17.0,1958.8219570611548,113440.86770462616,2023-02-19,2024-05-06,-2.0,Pending,Ship,V691,Mrs. Patel,Truck,R923,7599.699296509487,1248.440027973224,Warehouse B,South Hub,Ms. Verma,,,Yes,Not Returned,Check packaging
S626958,O15251,C7485,John Doe,john@example.com,+919998808528,Chennai,India,East,560001.0,P1301,Tablet,Furniture,76.19811233738129,2.0,2473.7388485041297,21598.497764749005,2023-09-22,2022-11-27,0.0,DELAYED,Air,V761,Ms. Sharma,Truck,R335,7652.798285852741,1248.440027973224,Warehouse A,South Hub,Mr. Khan,,,Yes,Not Returned,
S471684,O13233,C8021,Amit Kumar,,+917364914255,Mumbai,UK,East,110001.0,P9075,Tablet,Furniture,31.44274101070839,17.0,582.118253691674,51317.76473990145,2024-12-06,2025-06-03,7.0,DELAYED,Ship,V881,Ms. Sharma,Cargo,R725,586.5309851562531,365.2178461823782,Warehouse A,South Hub,Mr. Patel,Medium,UPI,,Pending,
S499704,O42291,C4732,,amit@gmail.com,+919509059346,,India,South,400001.0,P2896,Laptop,Food,54.89767279465632,11.0,286.0315640363282,196302.5874917136,2024-08-10,2023-03-16,12.0,delayed,Rail,V497,Ms. Sharma,Bike,R740,8565.430963853194,1142.2818193000305,Warehouse A,Central,Mr. Khan,Medium,,,,Delayed delivery
S826156,O54133,C7655,Li Wei,,+918466466661,Chennai,India,North,110001.0,P8744,Charger,Furniture,5.000115246598537,13.0,2365.3517753308106,194596.3121840462,2022-12-22,2024-04-25,0.0,DELAYED,Ship,V934,Ms. Sharma,Cargo,R537,7402.625862593285,1267.0122150755228,,,Ms. Verma,,Cash,No,Not Returned,Handle with care
S505936,O63714,C3014,,jane@,+916814480059,Chennai,us,,600001.0,P1494,Laptop,Accessories,59.99104789170297,7.0,4221.339973902669,144272.0612889226,2024-01-02,2022-06-04,4.0,Pending,Road,V811,,Truck,R564,8337.45315727269,149.4238239751592,,Central,Mr. Patel,Medium,Card,No,Not Returned,
S565197,O84637,C6341,Amit Kumar,jane@,+916510386596,,UK,West,560001.0,P9201,,Food,54.89767279465632,12.0,4140.753897801966,192457.5094672196,2020-04-01,2023-11-12,3.0,,Rail,V442,Mr. Rao,Van,R369,8813.090633228108,1384.7745955000685,,,,High,Debet,,Not Returned,Check packaging
S497650,O76106,C7560,Amit Kumar,amit@gmail.com,+919430199127,Delhi,,South,,P2190,Tablet,Food,60.310943668449276,15.0,1242.7503282923385,147017.13630754218,2024-07-31,2022-10-26,0.0,In Transit,Air,V586,,Truck,R183,6663.056267014754,168.366458425427,Warehouse A,South Hub,Mr. Khan,Medium,Cash,No,,Handle with care
S236164,O12380,C3428,John Doe,john@example.com,+918307975902,Delhi,India,East,400001.0,P8150,Mobile,Electronics,80.93553613758789,10.0,843.7059873305701,188993.68719476004,2021-04-03,2020-01-09,9.0,Delivered,,V201,Mr. Lee,Bike,R368,8607.49252558509,65.59446973231886,,North Hub,,Low,Online,,,Handle with care
S144773,O34425,C9232,Fatima Noor,amit@gmail.com,+916095704993,Delhi,USA,West,560001.0,P6226,Laptop,Furniture,-2.0,3.0,1428.488157411806,78649.69329941412,2024-11-08,2024-05-30,-1.0,delayed,Air,V602,Mrs. Patel,Cargo,R979,363.91147683697153,1114.660510613214,Warehouse A,North Hub,Ms. Verma,High,Debet,No,Not Returned,Handle with care
S135949,O90206,C1011,michael brown,john@example.com,+916604073073,Mumbai,us,,600001.0,P7745,Charger,,0.0,9.0,3014.228372520391,3103.032580151137,2022-05-27,2025-01-13,5.0,Pending,,V694,Ms. Sharma,Van,R827,2892.410615379814,1147.6067239810777,Warehouse B,South Hub,,High,Cash,No,Pending,Handle with care
S440122,O85883,C2314,michael brown,jane@,+918121121069,Mumbai,UK,West,,P7362,Tablet,Food,43.04033132667569,5.0,524.0510366881534,12926.827000405874,2021-02-24,2021-06-01,9.0,,Air,V278,Mr. Lee,,R733,4839.546420163297,787.0087478115729,Hub C,,,,Credt,Yes,Not Returned,Delayed delivery
S410891,O73493,C6157,Jane Smith,john@example.com,+917201266148,Bangalore,,North,110001.0,P4707,Tablet,,93.98014468563682,4.0,833.9464516195411,141034.91640095037,2023-10-01,2022-06-23,10.0,,Rail,V608,,Truck,R349,4839.546420163297,1045.618889312698,,South Hub,Ms. Verma,High,Cash,Yes,Returned,Handle with care
S670906,O25192,C4234,michael brown,john@example.com,+916416756355,Chennai,USA,South,560001.0,P4922,Laptop,,7.867442847541991,6.0,582.118253691674,188993.68719476004,2024-01-09,2021-10-05,-4.0,,Ship,V168,,Bike,R710,3653.713054879444,151.0244465801482,Hub C,Central,Mr. Khan,Low,Debet,No,Pending,
S355993,O76590,C6981,Jane Smith,jane@,+919437192688,Chennai,UK,East,,P4452,Charger,Furniture,92.22648638480013,8.0,247.93133754931196,128829.12309077912,2021-01-13,2022-12-07,6.0,Cancelled,,V151,Mr. Rao,Van,R321,4839.546420163297,419.635431707086,,Central,Ms. Verma,Medium,Card,No,Not Returned,
S663576,O78210,C5391,Fatima Noor,amit@gmail.com,+919536566726,,us,South,600001.0,P3590,Headphones,Clothing,-2.0,12.0,494.0543596261738,45101.87521972178,2021-06-28,2025-08-20,11.0,Delivered,,V563,,,R564,2231.7611095343395,731.0664400538368,Warehouse B,South Hub,,,Card,Yes,Not Returned,Check packaging
S300910,O19150,C4168,,john@example.com,+919986237830,,us,West,,P4272,Laptop,Electronics,-2.0,5.0,911.0416179407564,14882.343104953283,2023-11-16,2022-09-18,8.0,Delivered,Ship,V998,Ms. Sharma,Van,R591,3845.0863690497854,1886.765690457728,Hub C,,,,Credt,No,Returned,
S522140,O68107,C6596,John Doe,amit@gmail.com,+918406600534,,UK,,110001.0,P7126,Laptop,Clothing,88.77766788634449,4.0,2935.617099354375,129249.4448283645,2023-07-12,2024-01-01,-4.0,Delivered,,V979,Mr. Lee,Truck,R647,1092.0050948894086,1006.8520125604367,Hub C,,,Medium,UPI,Yes,Returned,Handle with care
S683213,O40902,C8496,John Doe,,+916760662140,mumbai,us,North,400001.0,P1535,Laptop,Clothing,96.97367046257358,8.0,1400.4722109570012,128829.12309077912,2020-06-21,2025-06-13,7.0,Delivered,Rail,V156,Mr. Rao,Truck,R403,880.2333472241612,709.6553950141215,,North Hub,Ms. Verma,,Cash,No,Not Returned,Delayed delivery
S500169,O57638,C6761,John Doe,jane@,+918355162443,mumbai,us,East,,P4297,Headphones,Furniture,6.824055853459352,13.0,2700.135729141203,148242.9734891228,2020-10-29,2021-07-12,3.0,,Ship,V749,Ms. Sharma,Bike,R119,8621.622056807979,1114.660510613214,Warehouse A,South Hub,Ms. Verma,Medium,UPI,Yes,Returned,
S716298,O96502,C1904,Fatima Noor,amit@gmail.com,+917525921114,Chennai,,,,P3170,Mobile,Accessories,43.04033132667569,7.0,394.1316242533175,12163.06652983601,2021-08-13,2025-09-06,7.0,Delivered,Air,V765,Mrs. Patel,Bike,R420,4582.846229073827,1942.6544828863223,Warehouse B,Central,,Medium,Credt,No,,Check packaging
S745326,O46788,C7965,John Doe,john@example.com,+918786803551,Mumbai,UK,West,110001.0,P4438,Tablet,Clothing,76.19811233738129,12.0,3265.154337309377,196302.5874917136,2020-03-23,2020-07-28,-4.0,delayed,Air,V159,Mr. Rao,Bike,R548,976.3534421699961,1961.602136056614,Warehouse A,Central,Ms. Verma,High,Debet,,Returned,Check packaging
